wkt_geom	id	T_00to10	T_78to14	P_78to14	P_00to10
Point (-113.01310962539491811 43.94349461621979458)	1583	0.04353	0.04804	-1.39841	0.9226
Point (-92.30325548154621629 36.51464234534279285)	1582	-0.03959	0.0185	3.79937	27.2826
Point (-103.83994382046341798 40.44049300314802053)	1581	-0.08393	0.00774	4.73063	7.2744
Point (-85.43122019667563904 31.50319657274588181)	1580	-0.01466	0.02572	-2.35934	-1.841
Point (-102.60319311365620365 36.66069360882354999)	1555	0.00919	0.01791	2.6646	-12.335
Point (-120.72254546595446811 36.36543823993719116)	1554	0.02919	0.03888	-6.84012	-9.0636
Point (-98.60646108660219511 45.62572019864275319)	1553	-0.09386	0.02229	2.9162	8.3994
Point (-97.76386251995964471 34.79129894351279972)	1552	0.0241	0.00636	4.74021	-3.957
Point (-104.19198765926108763 37.54363920398137822)	1559	-0.02779	0.01731	-0.30898	-4.223
Point (-122.31567317759720481 38.64703405695917127)	1558	-0.00573	0.03655	-0.98722	-3.3416
Point (-99.49108992970015208 41.71459094506905529)	1557	-0.07157	0.02401	-1.09303	9.5966
Point (-114.55773380418388285 36.35755281325234023)	1556	0.00267	0.04327	-1.38231	4.5012
Point (-97.35097550893655693 37.71940715953117262)	1563	-0.01394	0.01759	5.65787	4.768
Point (-121.80004383740308072 38.1227420249234541)	1562	-0.02186	0.02613	-0.37165	-4.7444
Point (-115.10533680397691114 46.8967536947562067)	1561	-0.00719	0.03451	-0.25792	8.7204
Point (-82.26358594347914277 31.88964587331945921)	1560	-0.02701	0.02558	5.43923	24.9546
Point (-90.03171230498833211 33.31933704125160034)	1567	-0.02491	0.02586	-0.3633	5.20299
Point (-83.35423700002192504 45.15051354371302494)	1566	-0.05863	0.02459	2.03183	6.2098
Point (-102.98522926721753379 36.49340823489039565)	1565	0.02586	0.02424	1.48228	-12.599
Point (-96.2957802084719674 40.27732998661596753)	1564	-0.08965	0.0119	-0.19179	-1.1802
Point (-91.54704757132644488 34.55464249903490526)	1539	-0.01878	0.02137	4.10322	18.9322
Point (-84.98605877899206007 41.90849967629819872)	1538	-0.03624	0.03374	1.2984	6.5802
Point (-120.22161824173255695 47.3375029679191357)	1537	0.01018	0.04854	2.00804	1.0984
Point (-103.22750185062056971 43.29072845343118559)	1536	-0.06417	0.01529	2.15011	2.1478
Point (-105.60240620657269517 40.78754493188814934)	1543	0.00984	0.03623	2.47699	4.0328
Point (-86.2556524134862741 30.91033166656238507)	1542	0.0073	0.03025	4.23263	-2.6688
Point (-108.78952987043527401 40.43986320007622481)	1541	-0.05212	0.04217	0.75536	-0.4152
Point (-113.65497400715922538 48.88908808461128785)	1540	-0.00029	0.04717	2.63215	13.64419
Point (-115.05458030316775364 36.74192370339259384)	1547	-0.00236	0.03842	-2.51936	-0.9494
Point (-86.13971935908480759 37.88382491904923199)	1546	-0.03297	0.02382	1.03125	13.5798
Point (-98.09705192310055111 34.48843300035311898)	1545	0.00917	0.00821	3.32491	-11.9912
Point (-95.76949453432806081 42.58880385949370861)	1544	-0.07664	0.01306	5.882	7.727
Point (-85.72303748807846091 47.12752018440981772)	1551				
Point (-109.1607862461232088 34.36462554743541631)	1550	0.00067	0.03015	-0.9672	-3.6886
Point (-98.33047392486778904 32.77914700523605518)	1549	0.01169	0.01393	4.30844	1.4308
Point (-118.27712283071495847 45.35757951313538427)	1548	-0.03156	0.02974	1.17778	14.5536
Point (-86.45186802917780255 37.44034832946172031)	1651	-0.01193	0.03605	-1.67492	15.97041
Point (-89.11350530067841191 34.23101921219594601)	1650	-0.05209	0.02437	2.29974	-10.3714
Point (-81.13243085126480025 27.84240259991920396)	1649	-0.02188	0.02499	0.15692	2.8882
Point (-109.07873807612679684 34.62364483525708181)	1648	-0.02361	0.023	-1.67718	-4.3326
Point (-80.22583923401965933 42.30782757024731211)	1655				
Point (-78.36033564685668296 41.34031533805972458)	1654	-0.01462	0.03288	-0.40333	18.0452
Point (-87.0576476312674572 33.52059782685440581)	1653	-0.01801	0.0375	-2.72559	11.90121
Point (-108.30416307609255 44.27912419955353585)	1652	-0.0705	0.02685	0.16648	4.4934
Point (-113.52020367178246829 39.51611279358036199)	1659	-0.04627	0.01983	-0.46193	1.664
Point (-90.93089676720025238 43.3479258772769569)	1658	-0.04666	0.02499	4.9901	-0.46
Point (-78.39362076196401574 36.52734179390496649)	1657	0.05147	0.03492	3.83288	-0.1708
Point (-105.39892503725899076 44.30357769304063709)	1656	-0.02419	0.04018	0.27412	1.316
Point (-89.1039681932032579 32.39385314936910731)	1663	-0.04182	0.02454	0.95379	17.6964
Point (-99.77682241759850967 35.99619147757186965)	1662	0.04618	0.02222	1.11552	-13.5974
Point (-81.86715540658366308 27.86313212760757096)	1661	-0.03871	0.03574	1.30527	-2.82939
Point (-124.19323057916498954 40.97978292910794096)	1660				
Point (-87.75382202562292377 32.52180143560794079)	1635	-0.05184	0.02315	-0.5193	12.11121
Point (-108.55917413842419705 36.14728571156580728)	1634	-0.04217	0.02141	0.37749	-0.8952
Point (-97.85099139736087182 31.93868159786900662)	1633	0.00122	0.01718	4.38097	-5.5778
Point (-123.49617134880197966 44.37530594010759444)	1632	-0.04003	0.0206	6.9202	-3.5078
Point (-87.61388646484533638 47.08843150601190075)	1639				
Point (-122.97272493489398926 38.59023173402398754)	1638	-0.02695	0.00132	0.72996	-23.11541
Point (-111.77615355373761474 35.72848055052067195)	1637	-0.01182	0.02428	0.17964	-1.0688
Point (-83.7075664355407838 45.71543095971706805)	1636				
Point (-106.9095527749305603 44.00958476373912731)	1643	0.01097	0.05085	-0.97983	3.4914
Point (-85.14533305465252511 30.24911944250516882)	1642	-0.04539	0.02901	2.0769	9.7374
Point (-86.2558847643786919 34.6344319928781843)	1641	-0.03593	0.02899	-2.03894	4.601
Point (-110.56343572853927526 40.95517013665519812)	1640	-0.02946	0.02528	2.76902	8.6404
Point (-105.10603922676125421 41.8651709714565996)	1647	-0.03589	0.02121	2.00742	4.368
Point (-101.20308121679335045 39.95788634114099125)	1646	-0.04643	0.02458	1.17864	16.5298
Point (-101.89172081001939318 42.75827128494539409)	1645	-0.07869	0.01431	1.09322	10.6306
Point (-112.00544361334550558 34.02740662442388953)	1644	0.03932	0.05296	-8.87904	-8.2958
Point (-82.46359118576589253 37.54610331850511074)	1619	-0.05132	0.02385	2.79953	17.8332
Point (-93.22569424195147292 40.57354687496862056)	1618	-0.04153	0.01926	2.66738	34.2288
Point (-87.66574186033712124 37.79255683867985027)	1617	-0.03377	0.01962	3.74687	9.5052
Point (-82.64428689667030881 33.99535722434693952)	1616	0.01068	0.02878	-0.43607	1.7934
Point (-111.23758496495815962 35.97182748127511331)	1623	0.00488	0.0256	1.34446	-1.0274
Point (-116.70688360596055588 48.89126926282192187)	1622	-0.00596	0.04607	5.51967	9.4724
Point (-90.63445783673303424 44.32814435253403929)	1621	-0.08221	0.02195	4.62647	1.23179
Point (-84.51342304593521249 40.20646591893294186)	1620	-0.04117	0.0322	1.75762	10.129
Point (-117.86408300833601004 41.98194080857597044)	1627	-0.00471	0.03024	-0.94956	-0.2752
Point (-81.25227830398475248 42.1158054758769822)	1626				
Point (-104.90511033251588913 42.14350569208534125)	1625	-0.03676	0.03563	1.59475	2.2498
Point (-89.15465819615661758 38.15051919652675849)	1624	-0.02167	0.02974	7.84659	19.92079
Point (-106.85005026746790691 37.33339490932726079)	1631	0.08379	0.05811	-8.33713	4.8442
Point (-87.24589912698456828 44.09914737217204106)	1630				
Point (-93.89565637186274216 42.28865285734615753)	1629	-0.08575	0.01683	3.2764	5.5556
Point (-85.54946790936733692 37.96343849987157171)	1628	-0.03138	0.03184	2.43335	22.77059
Point (-95.47508169716149951 35.21250887748443148)	1603	-0.01628	0.00939	4.93484	-23.2674
Point (-100.67897864921096129 38.69441366034021712)	1602	-0.02324	0.0135	1.9596	11.8784
Point (-72.50901637195049432 43.3693485390478628)	1601	0.01889	0.03669	-1.39469	18.9146
Point (-88.10489996192760032 31.99776241541518829)	1600	-0.04601	0.02062	3.34395	18.6626
Point (-81.00324805566170028 36.17413465268388961)	1607	5.00E-05	0.01831	1.75603	15.96239
Point (-92.50520178798899451 45.6658914594233778)	1606	-0.06815	0.03612	3.79828	-4.235
Point (-76.49607087912049508 36.2476665564035514)	1605	0.00681	0.01929	1.95171	3.37579
Point (-81.60616120413391172 39.48084928126682769)	1604	-0.04656	0.02977	1.25181	4.14359
Point (-89.27681627181453905 34.48789544187683731)	1611	-0.05804	0.02063	-0.80027	5.4748
Point (-105.96163783746139586 32.11577828648964328)	1610	-0.01032	0.02796	1.36702	5.0476
Point (-81.62941859251402832 36.72393267738678446)	1609	-0.00836	0.01878	-0.00286	2.1074
Point (-112.21642058661275598 40.59000963469582501)	1608	-0.03064	0.02896	-0.01108	1.9276
Point (-120.796474525912231 43.04922743998143631)	1615	0.00405	0.03103	0.0315	-1.9318
Point (-99.43362417417920085 30.47332649420078354)	1614	0.0092	0.02351	-1.51639	-11.2332
Point (-77.25468810820370891 41.90806114563969231)	1613	-0.0291	0.03088	-3.09532	6.2074
Point (-98.91657274926608068 45.36911462739943346)	1612	-0.09818	0.01957	2.65084	5.3554
Point (-82.47640148222009771 38.28470320762285439)	8627	-0.04177	0.02706	2.1779	22.8948
Point (-82.57911789585838847 30.04748123233083135)	8626	-0.04673	0.02107	3.4268	9.5392
