wkt_geom	fid	id	T_78to14	P_78to14
Point (-94.49633230000000594 38.39891480000000001)	146	145	0.02117	155.64746
Point (-93.78799840000012011 37.85724769999999495)	475	474	0.02118	300.46259
Point (-94.20466540000005295 38.31558139999999923)	201	200	0.02118	234.27271
Point (-93.91299850000009997 38.10724789999999729)	328	327	0.02121	301.21368
Point (-93.91299850000009997 38.23224799999999846)	256	255	0.02124	228.24957
Point (-93.74633170000012683 37.94058109999999573)	428	427	0.02135	287.58313
Point (-93.87133180000010668 37.69058089999999339)	569	568	0.02136	241.14124
Point (-93.74633170000012683 37.81558099999999456)	500	499	0.02136	265.27063
Point (-93.74633170000012683 37.77391429999999417)	524	523	0.02138	251.74048
Point (-93.8296651000001134 37.69058089999999339)	570	569	0.02143	203.55341
Point (-94.12133200000006639 38.39891480000000001)	155	154	0.02143	192.61975
Point (-93.66299830000014026 37.94058109999999573)	430	429	0.02149	283.828
Point (-93.70466500000013355 37.94058109999999573)	429	428	0.02149	285.23187
Point (-93.8296651000001134 37.81558099999999456)	498	497	0.02149	306.46747
Point (-93.87133180000010668 38.0655811999999969)	353	352	0.0215	314.56012
Point (-93.74633170000012683 37.89891439999999534)	452	451	0.02152	279.04199
Point (-93.78799840000012011 37.98224779999999612)	403	402	0.02153	304.74298
Point (-94.24633210000004624 38.19058129999999807)	272	271	0.02153	224.04218
Point (-94.49633230000000594 38.31558139999999923)	194	193	0.02153	172.84326
Point (-93.70466500000013355 37.89891439999999534)	453	452	0.02155	268.78607
Point (-93.78799840000012011 37.81558099999999456)	499	498	0.02158	286.62665
Point (-94.49633230000000594 38.27391469999999885)	218	217	0.02159	167.77228
Point (-93.62133160000014698 38.0655811999999969)	359	358	0.02161	291.12451
Point (-93.66299830000014026 37.98224779999999612)	406	405	0.0217	288.30603
Point (-94.37133220000002609 38.14891459999999768)	293	292	0.02171	218.27136
Point (-94.20466540000005295 38.35724809999999962)	177	176	0.02172	230.69489
Point (-94.16299870000005967 38.39891480000000001)	154	153	0.02178	211.96704
Point (-94.45466560000001266 38.19058129999999807)	267	266	0.02183	183.03888
Point (-93.66299830000014026 38.02391449999999651)	382	381	0.02186	292.78674
Point (-94.28799880000003952 38.14891459999999768)	295	294	0.02193	245.98944
Point (-93.74633170000012683 37.98224779999999612)	404	403	0.02198	303.79315
Point (-93.87133180000010668 37.73224759999999378)	545	544	0.02203	259.09833
Point (-93.70466500000013355 37.98224779999999612)	405	404	0.02205	296.48859
Point (-93.78799840000012011 37.73224759999999378)	547	546	0.02208	221.19171
Point (-93.87133180000010668 37.77391429999999417)	521	520	0.02208	283.24963
Point (-94.45466560000001266 38.48224820000000079)	99	98	0.02208	186.97388
Point (-94.32966550000003281 38.14891459999999768)	294	293	0.02211	234.56299
Point (-93.8296651000001134 38.02391449999999651)	378	377	0.02211	306.54846
Point (-93.78799840000012011 37.77391429999999417)	523	522	0.02213	252.09381
Point (-94.0796653000000731 38.39891480000000001)	156	155	0.02215	180.5556
Point (-93.95466520000009325 38.31558139999999923)	207	206	0.02216	186.3974
Point (-93.91299850000009997 38.27391469999999885)	232	231	0.02223	202.68939
Point (-93.87133180000010668 38.19058129999999807)	281	280	0.02227	258.39008
Point (-94.45466560000001266 38.4405815000000004)	123	122	0.0223	176.47021
Point (-93.87133180000010668 38.14891459999999768)	305	304	0.02234	284.74817
Point (-93.99633190000008653 38.35724809999999962)	182	181	0.02237	189.96442
Point (-93.87133180000010668 38.10724789999999729)	329	328	0.02243	308.75183
Point (-94.45466560000001266 38.52391490000000118)	75	74	0.02249	183.37885
Point (-93.8296651000001134 37.73224759999999378)	546	545	0.02251	227.88617
Point (-93.8296651000001134 37.77391429999999417)	522	521	0.02251	263.66748
Point (-94.20466540000005295 38.39891480000000001)	153	152	0.02251	210.94037
Point (-93.8296651000001134 38.0655811999999969)	354	353	0.02255	316.59644
Point (-93.70466500000013355 38.02391449999999651)	381	380	0.02269	305.41669
