wkt_geom	fid	id	T_78to14	P_78to14
Point (-75.65499960000003909 40.79999963000002339)	461	460	0.02507	0.51038
Point (-75.1133328900000663 40.09166624000005896)	1154	1153	0.02509	-58.39917
Point (-75.57166626000004328 40.63333295000003176)	623	622	0.02511	36.60278
Point (-75.73833294000003491 39.7583328800000757)	1459	1458	0.02511	77.23083
Point (-75.40499958000005165 40.17499958000005478)	1067	1066	0.0252	0.64331
Point (-75.19666623000006211 40.21666625000005268)	1032	1031	0.02524	-54.82556
Point (-76.19666631000001189 39.92499956000006733)	1288	1287	0.02525	57.7627
Point (-75.02999955000007049 40.04999957000006106)	1196	1195	0.02525	-51.30725
Point (-75.696666270000037 40.25833292000005059)	980	979	0.02527	-49.34802
Point (-76.2799996500000077 39.92499956000006733)	1286	1285	0.02532	58.70142
Point (-75.57166626000004328 40.00833290000006315)	1223	1222	0.02533	-30.81433
Point (-75.07166622000006839 40.04999957000006106)	1195	1194	0.02534	-42.71741
Point (-76.36333299000000352 40.17499958000005478)	1044	1043	0.02534	20.13794
Point (-75.73833294000003491 39.79999955000007361)	1419	1418	0.02535	41.45825
Point (-75.65499960000003909 40.04999957000006106)	1181	1180	0.02536	-33.34314
Point (-76.2799996500000077 40.17499958000005478)	1046	1045	0.02537	54.86548
Point (-75.696666270000037 40.38333293000004431)	860	859	0.02538	-65.54443
Point (-75.48833292000004747 39.79999955000007361)	1425	1424	0.02541	-1.04236
Point (-76.02999963000002026 39.88333289000006943)	1332	1331	0.02542	10.00366
Point (-75.696666270000037 39.92499956000006733)	1300	1299	0.02543	17.79578
Point (-75.19666623000006211 40.04999957000006106)	1192	1191	0.02543	-44.73413
Point (-75.73833294000003491 40.79999963000002339)	459	458	0.02544	-42.17249
Point (-75.19666623000006211 40.17499958000005478)	1072	1071	0.02546	-67.67554
Point (-75.86333295000002863 39.88333289000006943)	1336	1335	0.02548	-32.34875
Point (-75.15499956000006421 39.96666623000006524)	1273	1272	0.02549	3.32458
Point (-75.57166626000004328 39.96666623000006524)	1263	1262	0.0255	-22.2356
Point (-76.32166632000000561 41.21666633000000246)	45	44	0.02555	-83.66882
Point (-76.44666632999999933 40.34166626000004641)	882	881	0.02556	-30.71777
Point (-76.32166632000000561 39.96666623000006524)	1245	1244	0.02556	30.96704
Point (-75.65499960000003909 40.46666627000004013)	781	780	0.02557	-39.62781
Point (-75.52999959000004537 39.88333289000006943)	1344	1343	0.02559	-15.47009
Point (-76.40499966000000143 40.13333291000005687)	1083	1082	0.0256	-9.14783
Point (-75.15499956000006421 39.92499956000006733)	1313	1312	0.02562	35.12524
Point (-75.44666625000004956 39.92499956000006733)	1306	1305	0.02565	-19.25378
Point (-75.61333293000004119 39.92499956000006733)	1302	1301	0.02569	-11.92029
Point (-75.696666270000037 40.21666625000005268)	1020	1019	0.02573	-55.02917
Point (-76.19666631000001189 39.96666623000006524)	1248	1247	0.02574	60.50586
Point (-76.44666632999999933 40.38333293000004431)	842	841	0.02576	-34.20227
Point (-76.15499964000001398 39.92499956000006733)	1289	1288	0.02576	34.44299
Point (-75.52999959000004537 39.92499956000006733)	1304	1303	0.0258	-15.33447
Point (-75.48833292000004747 39.92499956000006733)	1305	1304	0.02581	-13.99353
Point (-76.44666632999999933 40.42499960000004222)	802	801	0.02582	-38.99561
Point (-76.2383329800000098 40.13333291000005687)	1087	1086	0.02583	47.63965
Point (-75.73833294000003491 39.88333289000006943)	1339	1338	0.02588	3.15527
Point (-75.57166626000004328 40.67499962000002967)	583	582	0.02589	26.32178
Point (-75.15499956000006421 40.00833290000006315)	1233	1232	0.02589	-23.37634
Point (-75.15499956000006421 39.88333289000006943)	1353	1352	0.02596	40.54163
Point (-75.27999957000005793 40.13333291000005687)	1110	1109	0.02596	-12.85803
Point (-76.44666632999999933 40.2999995900000485)	922	921	0.026	-32.69116
Point (-75.32166624000005584 40.17499958000005478)	1069	1068	0.02604	1.203
