Checked	Common_name	Code	Date_received	Location.x	Region	Ocean	Cause_of_death	What	Info_sent	Extracted	Info_requested	Other_info	Archiving_info	scrubbed_uoa_code	reconciled_alternate_code	UoA_Code	Species_subspecies	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB	reconciliation_notes	pathology_code	hologenome_region	collection_date_mod	broad_location	review
Yes	Hector's dolphin	Che05NZ04 (H102/05)	Nov-05	Neils Beach Jackson Bay, South Westland	West Coast	Tasman	net entanglement	confirm species & sex	Yes	Yes	Yes	TL = 76cmPhotos taken but not provided	Four samples, three disposed (three out of four in Becca's box). Massey code: WS06-Chh	CHE05NZ04	NA	Che05NZ04	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	South Westland	1.43	NA	Unknown	NA	H102/05	NA	NA	WS05-36 Chh	NA	NA	38019	F	Hb	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H102	SI West Coast	2-Nov-2005	Haast/Jackson Bay	OK
Yes	Hector's dolphin	Che05NZ05 (H103/05)	Nov-05	Neils Beach Jackson Bay, South Westland	West Coast	Tasman	net entanglement	NA	Yes	Yes	NA	TL = 69cmPhotos taken but not supplied	Three samples, one disposed. Massey code: None	CHE05NZ05	NA	Che05NZ05	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	South Westland	1.25	NA	Male	NA	H103/05	NA	NA	NA	NA	NA	NA	M	Hc	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H103	SI West Coast	2-Nov-2005	Haast/Jackson Bay	OK
Yes	Hector's dolphin	Che05NZ06 (H104/05)	Nov-05	Neils Beach Jackson Bay, South Westland	West Coast	Tasman	net entanglement	NA	Yes	Yes	Yes	TL = 156 cmOn beack with U06-191 - calfCarcass sent to Massey University	Two samples, one disposed. Massey code: WS06-26Ch	CHE05NZ06	NA	Che05NZ06	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	South Westland	1.2	NA	Male	NA	H104/05	NA	NA	WS05-35 Chh	NA	NA	38018	M	Hb	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H104	SI West Coast	2-Nov-2005	Haast/Jackson Bay	OK
Yes	Hector's dolphin	Che05NZ07 (H105/05)	Nov-05	Neils Beach Jackson Bay, South Westland	West Coast	Tasman	net entanglement	NA	Yes	Yes	Yes	TL = 78 cmOn beach with U06-190, this is the calfCarcass sent to Massey University	Two samples, one disposed. Massey code: WS06-25Ch	CHE05NZ07	NA	Che05NZ07	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	South Westland	1.45	NA	Male	NA	H105/05	NA	NA	WS05-34 Chh	NA	NA	38017	F	Hb	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H105	SI West Coast	2-Nov-2005	Haast/Jackson Bay	OK
Yes	Hector's dolphin	Che05NZ09 (H109/05)	Jan-06	1km South of Waimea Creek between Arahura and Taramakau Rivers NZMS260 2351300 5839400, north of Hokitika	West Coast	Tasman	NA	NA	NA	Yes	NA	TL = 143 cmWhole animal sent to Massey UniPhotocopies of photos provided	Two samples, one disposed. Massey code: WS06-19Ch	CHE05NZ09	NA	Che05NZ09	Cephalorhynchus hectori hectori	NA	NA	beachcast	Paul van Klink, Ron van Mierlo	Hokitika	1.41	NA	Unknown	NA	H109/05	NA	NA	WS06-07Chh	NA	NA	38224	F	Jb	24	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H109	SI West Coast	6-Dec-2005	Hokitika	OK
Yes	Hector's dolphin	Che05NZ10 (H110/05)	Jan-06	Okarito Bar 5772644 2279369	West Coast	Tasman	NA	sex	Yes	Yes	Yes	TL = 125cmPhotos taken but not provided	Three samples, two disposed. Massey code: WS06-23Ch	CHE05NZ10	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	H110	SI West Coast	11-Dec-2005	Okarito/Franz Josef	OK
Yes	Hector's dolphin	Che05NZ11 (H111/05)	Jan-06	Te Waewae Bay ENE roughly N2079085 E5436144	Southland	NA	NA	NA	NA	NA	NA	NA	No data available. Added to the database by Sahar. THree samples, Two disposed (one out of three samples in Becca's box). Massey code: WS06-24Ch	CHE05NZ11	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	H111	SI South Coast	15-Dec-2005	Te Waewae	OK
Yes	Hector's dolphin	Che05NZ12 (H114/06)	Jan-06	3N miles north of Potato Point, 1.5-2Nmiles east of Seacliff, Dunedin	Otago	Pacific	net entanglement	NA	NA	Yes	NA	Decomposed carcass - dried outPhotocopies of photos provided	"Originally was named as "Che07NZ01" but changed to "Che06NZ10" because of the year of collection (2006) and exisiting of another sample called "Chem07NZ01" which could be confusing. Three samples, two disposed. Massey code: WS07-04Ch"	CHE05NZ12	NA	Che05NZ12	Cephalorhynchus hectori hectori	NA	NA	beachcast	Les Douglas	Dunedin	1.21	NA	Male	NA	H114/06	NA	NA	NA	NA	NA	NA	M	S	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H114	SI East Coast	22-Dec-2005	Dunedin	OK
Yes	Hector's dolphin	Che05NZ13 (H92/05)	unsure	Westport, Carters Beach (K29 23895 59387)	West Coast	Tasman	NA	NA	No	Yes	Yes	T.L. = 158cmH153/07 DoC code	One big sample tube. A part of it transformed into a new tube and the rest was discarded. Massey code: None	CHE05NZ13	NA	Che05NZ13	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale/Martin Abel (DoC Buller)	Hokitika/Buller	1.24	NA	Male	NA	H92/05	NA	NA	WB05-09 Chh	NA	NA	36866	M	Jc	5	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H092	SI West Coast	5-Jan-2005	Westport	OK
Yes	Hector's dolphin	Che05NZ14 (H94/05)	unsure	Hokitika, halfway between Ross & the Mikonui mussel bed (NZMS260 I33 58110 23295)	West Coast	Tasman	NA	NA	NA	Yes	NA	TL = 143 cmBycatch in recreational set netPhotos provided	Two samples, one disposed. Massey code: W07-06Ch	CHE05NZ14	NA	Che05NZ14	Cephalorhynchus hectori hectori	NA	NA	beachcast	Martin Abel/Don Neale	Buller/Hokitika	0.72	NA	Male	NA	H94/05	NA	NA	WB05-06 Chh	NA	NA	36815	M	R	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;DOC_Massey had '15 Jan 2005 or 28 June 2005' for Collection_Date	H094	SI West Coast	15-Jan-2005	Hokitika	OK
Yes	Hector's dolphin	Che05NZ15 (H93/05)	NA	Te Waewae bay just west of ‘McCracken’s Rest towards Waiau River mouth	NA	NA	NA	NA	NA	Yes	NA	TL = 92 cm	Three samples, two disposed. Massey code: W07-03Ch	CHE05NZ15	NA	Che05NZ15	Cephalorhynchus hectori hectori	N: 5429986	E: 2097342	beachcast	NA	NA	NA	NA	NA	NA	H93/05	NA	NA	WB05-01 Chh	NA	NA	36778	F	L	0	no	no	Based on information in DOC_Massey Collection_Date, stranded after 31-Dec-2004, but wasn't sampled until 5-Jan-2005	H093	SI South Coast	5-Jan-2005	Te Waewae	OK
Yes	Hector's dolphin	Che05NZ16 (H96/05)	NA	North Side of Rangitata Huts, north of Timaru	NA	NA	NA	NA	NA	Yes	NA	Spine and tail fluke only. Head & fins missing.Photos provided	Two samples, combined. Massey code: W07-07Ch	CHE05NZ16	NA	Che05NZ16	Cephalorhynchus hectori hectori	NA	NA	beachcast/entangled	NA	NA	NA	NA	NA	NA	H96/05	NA	NA	WB05-10 Chh	NA	NA	36899	F	Cb1	0	no	no	"NA"	H096	SI East Coast	4-Feb-2005	Timaru	OK
Yes	Hector's dolphin	Che05NZ17 (H97/05)	NA	North Side of Rangitata Huts, north of Timaru	NA	NA	NA	NA	NA	Yes	NA	T.L. = 128.4 cmDoC # H136/07	Two samples, one disposed. Massey code: None	CHE05NZ17	NA	Che05NZ17	Cephalorhynchus hectori hectori	NA	NA	beachcast/entangled	NA	NA	NA	NA	NA	NA	H97/05	NA	NA	WB05-11 Chh	NA	NA	36900	F	Cb	0	no	no	"NA"	H097	SI East Coast	4-Feb-2005	Timaru	OK
Yes	Hector's dolphin	Che05NZ19 (H107/05)	NA	Orepuki Beach, Te Waewae Bay	NA	NA	NA	NA	NA	Yes	NA	T.L. = 88 cmDoC#H130/06	Three samples, two disposed. Massey code: W07-05Ch	CHE05NZ19	NA	Che05NZ19	Cephalorhynchus hectori hectori	54 22259	21 04166	beachcast	NA	NA	NA	NA	NA	NA	H107/05	NA	NA	WS05-33 Chh	NA	NA	38016	F	M	0	no	no	"NA"	H107	SI South Coast	4-Dec-2005	Te Waewae	OK
Yes	Hector's dolphin	Che06NZ01 (H121/06; U06-85)	Apr-06	North of Hokitika 23444 58320	West Coast	Tasman	NA	NA	NA	Yes	Yes	T.L. = 152 cmDoC # 140/07Dolphin seen dead floating, fisherman attempt to retrieve unsuccessfulWashed up next day, presumed the same dolphin	One big sample tube. A part of it transformed into a new tube and the rest was discarded. Massey code: W07-12Ch	CHE06NZ01	NA	Che06NZ01	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	Hokitika	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	M	T	0	no	no	NZCETA made this observation of Sex 'UnknownMale'. DOC_Massey had no information for this individual	H121	SI West Coast	21-Apr-2006	Hokitika	OK
Yes	Hector's dolphin	Che06NZ03 (H124/06; U06-130)	Nov-06	Farewell Spit (NZMS260 M24 893 775)	Marlborough	Tasman	NA	NA	NA	Yes	NA	Tail missing DoC #H147/07	Two samples, one disposed. Massey code: None	CHE06NZ03	NA	Che06NZ03	Cephalorhynchus hectori hectori	NA	NA	beachcast	Mike Ogle & Clayton Ross	Golden Bay	0.69	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	F	T	12	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H124	Farewell Spit	10-Nov-2006	Farewell Spit	OK
Yes	Hector's dolphin	Che06NZ06 (H122/06; U06-117)	Sep-06	Twin Beaches, Heaphy Track, Buller	Buller	Tasman	NA	NA	NA	NA	NA	T.L. = 72 cmcopies of photos provided	Massey code: None	CHE06NZ06	NA	Che06NZ06	Cephalorhynchus hectori hectori	NA	NA	beachcast	E. Quinn	Golden Bay & Buller AO	1.305	NA	Male	NA	H122/06	NA	NA	WS06-16 Ch	NA	NA	39380	M	Ia	12	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H122	SI West Coast	4-Sep-2006	Buller	OK
Yes	Hector's dolphin	Che06NZ07 (H123/06; U06-122)	Oct-06	Sewage ponds beach, Hokitika (23449 58326 NZMS260 J32)	West Coast	Tasman	NA	species id	No	NA	Yes	spinal column found with flesh at caudal end	Two samples, one disposed. Massey code: None	CHE06NZ07	NA	Che06NZ07	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	Hokitika	1.43	NA	Female	NA	H123/06	NA	NA	WS06-19Ch	NA	NA	39420	F	AA	13	no	no	"NA"	H123	SI West Coast	12-Oct-2006	Hokitika	OK
Yes	Hector's dolphin	Che06NZ08 (H126/06; U06-187)	Dec-06	Te Waewae Bay	Southland	Pacific	NA	NA	NA	NA	NA	TL=1.12 m2 large shark bites.(NZ MS 260 I, J 44 268925)	Three samples, two disposed. Massey code: W07-29Ch	CHE06NZ08	NA	Che06NZ08	Cephalorhynchus hectori hectori	N2084340	E5436386	beachcast	Sally Chesterfiled & Fred Brock	Hurihiku	1.25	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	M	T	14	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H126	SI South Coast	30-Nov-2006	Te Waewae	OK
Yes	Uncertain	Che06NZ09 (H129/06)	NA	NA	NA	NA	NA	NA	No	Yes	No	T.L. = 116cm. Hectors.DoC#141/07. Extracted Marc and Sex ID confirmed.	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Massey code: None	CHE06NZ09	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H129	NA	Unknown	NA	OK
Yes	Hector's dolphin	Che07NZ02 (H133/07; U07-010)	Jan-07	Gillespies Beach, Franz Josef, South Westland	West Coast	Tasman	NA	NA	No	Yes	No	DoC# H148/07Incomplete dolphinSpine & partial tail only. Extracted by Marc. Sex ID Becca?	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Massey code: None	CHE07NZ02	NA	Che07NZ02	Cephalorhynchus hectori hectori	NA	NA	beachcast	Myles Riki & Don Neale	Hokitika	1.43	NA	Female	NA	H133/07	NA	NA	NA	NA	NA	NA	F	Jb	14	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H133	SI West Coast	7-Jan-2007	Okarito/Franz Josef	OK
Yes	Hector's dolphin	Che07NZ04 (H134/07; U07-012)	Jan-07	Hokitika Beach, Hokitika	West Coast	Tasman	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Eneterd to the database and re-coded by Sahar. Massey code: W07-32Ch	CHE07NZ04	NA	Che07NZ04	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	Hokitika	NA	NA	Female	NA	H134/07	NA	NA	NA	NA	NA	NA	F	T	14	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H134	SI West Coast	18-Jan-2007	Hokitika	OK
Yes	Hector's dolphin	Che07NZ05 (H136/07; U07-050)	Mar-07	Cloudy Bay, Rarangi Beach, Blenheim	Marlborough	Pacific	NA	NA	NA	NA	NA	TL=0.540 mPhotos taken, not providedFresh.	Four samples, one in the U08 box. Three disposed. Massey code: W08-01Ch	CHE07NZ05	NA	Che07NZ05	Cephalorhynchus hectori hectori	NA	NA	beachcast	Mike Morrissey	Kaikoura	1.284	NA	Male	NA	H136/07	NA	NA	NA	NA	NA	NA	M	Cb	14	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H136	SI East Coast	20-Feb-2007	Cloudy Bay	OK
Yes	Hector's dolphin	Che07NZ08 (H142/07; U07-056)	May-07	South Ure River Mouth, Marlborough	Marlborough	Pacific	NA	NA	NA	NA	NA	H165-08 DoC codeTail and vertebrae onlyphoto provided	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Massey code: None	CHE07NZ08	NA	Che07NZ08	Cephalorhynchus hectori hectori	NA	NA	beachcast	Jan Clayton-Greene	Marlborough	NA	NA	Male	NA	H142/07	NA	NA	NA	NA	NA	NA	M	Ca	14	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H142	SI East Coast	20-Mar-2007	Marlborough	OK
Yes	Hector's dolphin	Che07NZ10 (H147/07; U07-067)	May-07	Lake Grassmere, Marlborough	Marlborough	Pacific	NA	NA	NA	NA	NA	H167/08 DoC numberT.L. = 145 cm	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Two samples, one disposed. Massey code: W08-20Ch	CHE07NZ10	NA	Che07NZ10	Cephalorhynchus hectori hectori	NA	NA	beachcast	Claire Wooldridge Way & Malcolm Brennan	South Marlborough	NA	NA	Male	NA	H147/07	NA	NA	NA	NA	NA	NA	M	Ca	14	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H147	SI East Coast	11-May-2007	Marlborough	OK
Yes	Hector's dolphin	Che07NZ11 (H149/07; U07-089)	Aug-07	Larsen Rd Beach Access, West Coast, near Westport	West Coast	Tasman	NA	NA	NA	NA	NA	No data sheet sent inTail with spine attached	Three samples, two disposed. Massey code: W08-10Ch (same as Che08NZ03?)	CHE07NZ11	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	H149	SI West Coast	27-Jul-2007	Westport	OK
Yes	Hector's dolphin	Che07NZ12 (H156/07; U07-123)	Jan-08	Takutai, South of Hokitika	West Coast	Tasman	NA	NA	NA	NA	NA	T.L. = 141 cmCD of photos provided	Three samples, two disposed. Massey code: W08-21Ch	CHE07NZ12	NA	Che07NZ12	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	Hokitika	0.72	NA	Male	NA	H156/07	NA	NA	NA	NA	NA	NA	NA	NA	15	no	no	"NA"	H156	SI West Coast	22-Dec-2007	Hokitika	OK
Yes	Hector's dolphin	Che07NZ13 (H151/07; U07-107)	Oct-07	Beach south of Waitaha River, Franz Josef	West Coast	Tasman	NA	NA	NA	NA	NA	T.L. = 67 cmcopies of photos provided	Two samples, one disposed. Massey code: W08-24Ch	CHE07NZ13	NA	Che07NZ13	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	Hokitika	-	NA	Female	NA	H151/07	NA	NA	NA	NA	NA	NA	F	Jb	0	no	no	DOC_Massey made this observation of Sex_observed 'Unknown'	H151	SI West Coast	25-Oct-2007	Okarito/Franz Josef	OK
Yes	Hector's dolphin	Che07NZ14 (H155/07; U07-126)	NA	Long Beach, North of Heyward Point, Central Coastal Otago	NA	NA	NA	NA	NA	NA	NA	T.L. = 80 cm. Sex & Sp ID Becca.DoC # Copies of photos provided	Two samples, one disposed. Massey code: W08-26Ch	CHE07NZ14	NA	Che07NZ14	Cephalorhynchus hectori hectori	NA	NA	beachcast	Jim Fyfe	Coastal Otago	1.12	NA	Male	NA	H155/07	NA	NA	NA	NA	NA	NA	M	S	24	no	no	DOC_Massey made this observation of Observed_sex 'M?'. NZCETA had no information for this individual;Modified the location from 'Central Otago' to 'Central Coastal Otago'	H155	SI East Coast	14-Dec-2007	Dunedin	OK
Yes	Hector's dolphin	Che07NZ15 (H141/07; U07-075)	Jul-07	1.5km South of Granity, Buller, near Westport	West Coast	Tasman	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Eneterd to the database and re-coded by Sahar. Massey code: W08-04Ch	CHE07NZ15	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;NZCETA made this observation of Sex 'UnknownMale'. DOC_Massey had no information for this individual	H141	SI West Coast	13-Mar-2007	Westport	OK
Yes	Hector's dolphin	Che07NZ16 (H145/07; U07-076)	Jul-07	Barrytown, Punakaiki	West Coast	Tasman	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Eneterd to the database and re-coded by Sahar. Massey code: W08-04Ch	CHE07NZ16	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	H145	SI West Coast	29-Apr-2007	Barrytown/Punakaiki	OK
Yes	Hector's dolphin	Che07NZ17 (H148/07; U07-088)	Aug-07	9 Mile Beach, South of Cape Foulwind, near Westport	West Coast	Tasman	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Eneterd to the database and re-coded by Sahar. Massey code: W08-19Ch	CHE07NZ17	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	H148	SI West Coast	25-Jul-2007	Westport	OK
Yes	Hector's dolphin	Che07NZ18 (H117/06)	NA	South of Patiti Point, Timaru	NA	NA	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Eneterd to the database and re-coded by Sahar. Massey code: W08-18Ch	CHE07NZ18	NA	Che07NZ18	Cephalorhynchus hectori hectori	none recorded	none recorded	beachcast	NA	NA	NA	NA	NA	NA	H117/06	NA	NA	W07-08Ch	NA	NA	39830	M	Cb1	24	no	no	"NA"	H117	SI East Coast	1-Feb-2006	Timaru	OK
Yes	Uncertain	Che07NZ19 (H154/07)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No data available. Just had H code. Eneterd to the database and re-coded by Sahar. Massey code: None	CHE07NZ19	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H154	NA	NA	NA	OK
Yes	Hector's dolphin	Che08NZ01 (H157/08; U08-004)	NA	Te Waewae Bay	NA	NA	NA	NA	NA	NA	NA	t.l. = 76.5cm	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Two samples, one disposed. Massey code: W09-04Ch	CHE08NZ01	NA	Che08NZ01	Cephalorhynchus hectori hectori	N 5434829	E2089136	beachcast	NA	NA	0.54	NA	Female	NA	H157/08	NA	NA	NA	NA	NA	NA	F	M	16	no	no	Although NZCETA had some information for this sample, it did not have info for 'Sex'. This was taken from DOC_Massey	H157	SI South Coast	8-Jan-2008	Te Waewae	OK
Yes	Hector's dolphin	Che08NZ02 (H162/08; U08-048)	NA	Waimangaroa North, near Westport	NA	NA	NA	NA	NA	NA	NA	Hectors DoC ID#H184/09, office file # NHS-09_01_01 SL-5. Only head recovered so no body measurements.	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Three samples (including one tooth sample), one disposed. Massey code: W09-04Ch	CHE08NZ02	NA	Che08NZ02	Cephalorhynchus hectori hectori	5944640	2405540	beachcast	-	Kawatiri Buller	-	NA	NA	NA	H162/08	NA	NA	NA	NA	NA	NA	NA	Hc	0	no	no	"NA"	H162	SI West Coast	3-Jul-2008	Westport	OK
Yes	Hector's dolphin	Che08NZ03 (H163/03; U08-055)	Aug-08	Paroa Beach 200m North of School, near Greymouth Map Reference J32 593359	West Coast	Tasman	NA	NA	No	Yes	No	Body came in dead on incoming tide. Recoverd and kept on ice. Viewed by Steve Dawson and considered to be ~6weeks old. TL=0.818m. Office file no. NHS-09-01-01. H192-09. Extracted by RMH.	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Two samples (one out of two in Becca's box), one disposed. Massey code: W09-21Ch	CHE08NZ03	NA	Che08NZ03	Cephalorhynchus hectori hectori	NA	NA	beachcast	Henk Stengs	Greymouth	1.39	NA	Female	NA	H163/08	NA	NA	NA	NA	NA	NA	F	Ib	17	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	H163	SI West Coast	2-Aug-2008	Greymouth	OK
Yes	Hector's dolphin	Che08NZ04 (H165/08; U08-060)	Sep-08	Blaketown Beach, Greymouth	West Coast	Tasman	NA	NA	No	Yes	No	H193/09. DoC file no. NHS-09-05-08. Stranding no. WC265. Decomposed. Body to Massey University. Extracted by RMH.	Originally was entered as a U sample, but was already give a Che code by Becca. Re-coded in the database by Sahar. Two samples, one disposed. The one kept is labled as teeth but there is no tooth. Massey code: None	CHE08NZ04	NA	Che08NZ04	Cephalorhynchus hectori hectori	NA	NA	beachcast	Henk Stengs	Greymouth	NA	NA	NA	NA	H165/08	NA	NA	NA	NA	NA	NA	F	Jb	4	no	no	"NA"	H165	SI West Coast	5-Sep-2008	Greymouth	OK
Yes	Hector's dolphin	Che08NZ05 (H167/08; U08-065)	Oct-08	Ross Beach, Hokitika	West Coast	Tasman	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Two samples, one in Becca's box. Both kept because one was teeth. Massey code: W09-08Ch	CHE08NZ05	NA	Che08NZ05	Cephalorhynchus hectori hectori	NA	NA	beachcast	Ted Brennan	Hokitika	1.45	NA	Unknown	NA	H167/08	NA	NA	NA	NA	NA	NA	F	Jb	17	no	no	Although NZCETA had some information for this sample, it did not have info for 'Sex'. This was taken from DOC_Massey	H167	SI West Coast	3-Oct-2008	Hokitika	OK
Yes	Hector's dolphin	Che08NZ06 (H164/08; U08-069)	Nov-08	Flowery Creek, West Coast, South Island (N of Hokitika)	West Coast	Tasman	NA	NA	NA	NA	NA	NA	Two samples, both kept because one was teeth. Massey code: W09-10Ch	CHE08NZ06	NA	Che08NZ06	Cephalorhynchus hectori hectori	NA	NA	beachcast	David Eastwood	Hokitika	NA	NA	Female	NA	H164/08	NA	NA	NA	NA	NA	NA	F	Hc	24	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;NZCETA had '?' for Date_stranded. This uncertainty seems to be captured in collection_date_mod	H164	SI West Coast	2008	Hokitika	OK
Yes	Hector's dolphin	Che08NZ07 (H169/08; U08-070)	Nov-08	Hector Beach, Hector, West Coast (N of Westport)	West Coast	Tasman	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Two samples, one in Becca's box. Both kept because one was teeth. Massey Code: W09-12Ch	CHE08NZ07	NA	Che08NZ07	Cephalorhynchus hectori hectori	N5956280	E2417148	beachcast	Daniel Sawyers & Chris Abel	Buller Kawatiri	1.41	NA	Female	NA	H169/08	NA	NA	NA	NA	NA	NA	F	Jb	24	no	no	DOC_Massey made this observation of Sex_observed 'Male';DOC_Massey had '2008' for Collection_Date	H169	SI West Coast	7-Nov-2008	Westport	OK
Yes	Hector's dolphin	Che08NZ08 (H170/08; U08-072)	Nov-08	North End Hokitika, Westland	West Coast	Tasman	NA	NA	NA	NA	NA	NA	Teeth sample	CHE08NZ08	NA	Che08NZ08	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	Hokitika	0.67	NA	Male	NA	H170/08	NA	NA	NA	NA	NA	NA	M	Jb	17	no	no	NZCETA made this observation of Sex 'UnknownMale'	H170	SI West Coast	15-Nov-2008	Hokitika	OK
Yes	Hector's dolphin	Che08NZ09 (H171/08; U08-081)	Dec-08	South Spit, Hokitika River Mouth	West Coast	Tasman	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Two samples, one in Becca's box. Both kept because one was teeth. Massey code: W09-15Ch	CHE08NZ09	NA	Che08NZ09	Cephalorhynchus hectori hectori	5829348	2341857	beachcast	Don Neale	Hokitika	0.8	NA	Female	NA	H171/08	NA	NA	NA	NA	NA	NA	F	Hc	16	no	no	DOC_Massey made this observation of Sex_observed 'Male'	H171	SI West Coast	5-Dec-2008	Hokitika	OK
Yes	Uncertain	Che08NZ10 (H158/08)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Two samples, one in Becca's box. Both kept because one was teeth. Massey code: W09-19Ch	CHE08NZ10	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies	H158	NA	NA	NA	OK
