UoA_Code	Species_subspecies	Common_Name	Collection_Date	Location	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB
CheTW03	Cephalorhynchus hectori hectori	Hector's dolphin	1/8/1997 (Mar96 strand databse & FP)	"Te Waewae Bay, Oreti Beach"			beachcast	Liz Slooten & Steve Dawson													M	L	16	yes	yes
CheTW04	Cephalorhynchus hectori hectori	Hector's dolphin	6/8/1996 or 4/11/96	"Te Waewae Bay, Colac Bay"			beachcast												CETOS 9693		F	M	6	yes	yes
CheTW05	Cephalorhynchus hectori hectori	Hector's dolphin	13-Jan-96	"Te Waewae Bay, Bluecliffs"			beachcast												CETOS 9695		F	L	6	yes	no
CheTW06	Cephalorhynchus hectori hectori	Hector's dolphin	1996	"Waiawa river mouth, Te Waewae Bay"			beachcast												CETOS 9694		M	M	10	no	yes
CheTW07	Cephalorhynchus hectori hectori	Hector's dolphin	1937	unknown/Stewart Island??			museum/beachcast									VT173						C	0	no	no
CheWC001	Cephalorhynchus hectori hectori	Hector's dolphin	18-Oct-92	Hokitika River mouth			beachcast												CETOS 9365		F	H	16	yes	yes
CheWC002	Cephalorhynchus hectori hectori	Hector's dolphin	28-Oct-92	"Blaketown tiphead, Greymouth"			beachcast	Steve Dawson and Liz Slooten											CETOS 9366		F	I	16	yes	yes
CheWC003	Cephalorhynchus hectori hectori	Hector's dolphin	2-Nov-92	Hokitika River mouth			beachcast												CETOS 9367		M	K	16	yes	yes
CheWC004	Cephalorhynchus hectori hectori	Hector's dolphin	9-Nov-92	"Mussel rocks, Westport"			beachcast	Steve Dawson and Liz Slooten											CETOS 9368		M	J	16	yes	yes
CheWC005	Cephalorhynchus hectori hectori	Hector's dolphin	11-Nov-92	Westport			beachcast												CETOS 9369		M	H	16	yes	yes
CheWC006	Cephalorhynchus hectori hectori	Hector's dolphin	22-Nov-92	"Westport, Granity"			beachcast												CETOS 9370		M	J	16	yes	yes
CheWC007	Cephalorhynchus hectori hectori	Hector's dolphin	14-Dec-92	"Westport, Granity"			beachcast												CETOS 9371		M	J	16	yes	yes
CheWC008	Cephalorhynchus hectori hectori	Hector's dolphin	24-Feb-93	"Westport, Birchfield beach"			beachcast												CETOS 9372		M	J	16	yes	yes
CheWC009	Cephalorhynchus hectori hectori	Hector's dolphin	22-Aug-94	"Kaitinu Beach, Hokitika"			beachcast	DoC via Liz Slooten													M	V	16	yes	yes
CheWC010	Cephalorhynchus hectori hectori	Hector's dolphin	26-Aug-93	Hokitika Beach			beachcast												CETOS 9587		M	H	16	yes	yes
CheWC011	Cephalorhynchus hectori hectori	Hector's dolphin	11-Aug-95	Karoro near Greymouth			beachcast												CETOS 9588		M	J	16	yes	yes
CheWC012	Cephalorhynchus hectori hectori	Hector's dolphin	1993	Jackson Bay			beachcast														M	D	1	no	no
CheWC016	Cephalorhynchus hectori hectori	Hector's dolphin	20-Dec-95	"Greymouth, Paroa"			beachcast									WC20-12					F	J	16	yes	yes
CheWC018	Cephalorhynchus hectori hectori	Hector's dolphin	6/7/1991 (11Mar96-strand database & FP)	"Westport, Ngakawau NZMS L28 150534"			beachcast		Hokitika										CETOS 9691		M	H	6	yes	yes
CheWC019	Cephalorhynchus hectori hectori	Hector's dolphin	6/7/1996 (11Mar96-strand database & FP)	"Westport, Ngakawau NZMS L28 150534"			beachcast		Hokitika										CETOS 9692		M	J	6	yes	no
CheWC02-06	Cephalorhynchus hectori hectori	Hector's dolphin	25-Nov-02	Nikan Beach 35km Sth Westport			beachcast	Martin Abel	Buller	1.34		F		H60/02			WB03-05Chh			34363	F	Ia	12	yes	yes
CheWC020	Cephalorhynchus hectori hectori	Hector's dolphin	9/12/2000 (FP-1996)	WC			beachcast												CETOS 9696		F	J	9	yes	yes
CheWC021	Cephalorhynchus hectori hectori	Hector's dolphin	16-Sep-95	"Greymouth, Taramakau River Mouth NZMS J32 2355858473"			beachcast												CETOS 9697		F	J	5	no	yes
CheWC022	Cephalorhynchus hectori hectori	Hector's dolphin	1997	Greymouth			beachcast										WS97.58				M	J	16	yes	yes
CheWC03-01	Cephalorhynchus hectori hectori	Hector's dolphin	10-Oct-03	Buller			beachcast														F	Jb	14	yes	yes
CheWC03-02	Cephalorhynchus hectori hectori	Hector's dolphin	24-Oct-03	Hokitika			beachcast														F	Jb	14	yes	yes
CheWC03-03	Cephalorhynchus hectori hectori	Hector's dolphin	13-Nov-03	Sth Westland (Haast Beach)			beachcast														M	Ca	13	yes	yes
CheWC03-04	Cephalorhynchus hectori hectori	Hector's dolphin	31-Nov-03	Buller			beachcast															Jb	2	no	no
CheWC03-05	Cephalorhynchus hectori hectori	Hector's dolphin	2-May-07	Westport			beachcast															T	2	no	no
CheWC132	Cephalorhynchus hectori hectori	Hector's dolphin	1992	Greymouth			beachcast									WCKaro						I	0	no	no
(WB04-03)	Cephalorhynchus hectori hector	Hector's dolphin	2004				beachcast										WB04-03					Ca	0	no	no
(WS99-22Ch)	Cephalorhynchus hectori hector	Hector's dolphin	9 Jul 1999 (23 Jul 99-WendiRoe)	"North Coast Arawhata River, Haast"			beachcast				adult						WS99-22Ch			30605	F	T	23	no	no
9362 (all tube says); 9362 corrected to 9363 on Ancient Franz Box sheet	Cephalorhynchus hectori hector	Hector's dolphin					Beachcast												9362		F	Cb1	24	no	no
